title,vintage,winery,style,variety,denominacion,price,designation,aging_1,region,description,points
Vizcarra 2015 Torralvo  (Ribera del Duero),2015,Vizcarra,Red wine,Tinta Fina,Ribera del Duero,80.0,Torralvo,No Aplica,Ribera del Duero,"A hint of sweet maple on the nose gives way to blackberry, cassis and dark-plum aromas that are in great shape as they set up a lush and full palate. Ripe toasty blackberry and chocolate flavors remain fresh and fruity on a full finish that's not too tannic. For a ripe year, this Ribera del Duero is in superb form. Drink through 2030. ",95
Numanthia 2012 Termanthia  (Toro),2012,Numanthia,Red wine,Tinta de Toro,Toro,220.0,Termanthia,No Aplica,Toro,"Tarry blackberry and cheesy oak aromas are appropriate for a wine of this size and magnitude. In the mouth, this Tinta de Toro is expansive and grabby, with bullish tannins. Slightly salty earthy accents come with core blackberry flavors and notes of baking spices and chocolate, while on the finish this is long, chocolaty, delicious and not too hard or tannic. Drink through 2023. ",95
Muga 2009 Prado Enea Gran Reserva  (Rioja),2009,Muga,Red wine,Tempranillo Blend,Rioja,79.0,Prado Enea Gran Reserva,Gran Reserva,Rioja,"Alluring, complex and powerful aromas of grilled meat, berries, tea, smoke, vanilla and spice cover every base. An intense palate is concentrated but still elegant. Blackberry, molasses and mocha flavors finish with chocolaty oak notes, fine tannins and overall cohesion. Drink this special Rioja from 2020 through 2035. ",95
Numanthia 2012 Numanthia  (Toro),2012,Numanthia,Red wine,Tinta de Toro,Toro,73.0,Numanthia,No Aplica,Toro,"Deep, dense and pure from the opening bell, this Toro is a winner. Aromas of dark ripe black fruits are cool and moderately oaked. This feels massive on the palate but sensationally balanced. Flavors of blackberry, coffee, mocha and toasty oak finish spicy, smooth and heady. Drink this exemplary Toro through 2023. ",95
Valduero 2010 6 Años Reserva Premium  (Ribera del Duero),2010,Valduero,Red wine,Tempranillo,Ribera del Duero,80.0,6 Años Reserva Premium,Reserva,Ribera del Duero,"Nicely oaked blackberry, licorice, vanilla and charred aromas are smooth and sultry. This is an outstanding wine from an excellent year. Forward barrel-spice and mocha flavors adorn core blackberry and raspberry fruit, while this runs long and tastes vaguely chocolaty on the velvety finish. Enjoy this top-notch Tempranillo through 2030. ",95
Maurodos 2012 San Román  (Toro),2012,Maurodos,Red wine,Tinta de Toro,Toro,65.0,San Román,No Aplica,Toro,"Slightly gritty black-fruit aromas include a sweet note of pastry along with a hint of prune. Wall-to-wall saturation ensures that all corners of one's mouth are covered. Flavors of blackberry, mocha and chocolate are highly impressive and expressive, while this settles nicely on a long finish. Drink now through 2024. ",95
Bodega Carmen Rodríguez 2012 Carodorum Único Crianza  (Toro),2012,Bodega Carmen Rodríguez,Red wine,Tinta de Toro,Toro,110.0,Carodorum Único Crianza,Crianza,Toro,"Lush cedary black-fruit aromas are luxe and offer notes of marzipan and vanilla. This bruiser is massive and tannic on the palate, but still lush and friendly. Chocolate is a key flavor, while baked berry and cassis flavors are hardly wallflowers. On the finish, this is tannic and deep as a sea trench. Drink this saturated black-colored Toro through 2023. ",95
Emilio Moro 2014 Malleolus de Valderramio  (Ribera del Duero),2014,Emilio Moro,Red wine,Tempranillo,Ribera del Duero,146.0,Malleolus de Valderramio,No Aplica,Ribera del Duero,"Even in a difficult vintage like 2014, this single-vineyard Ribera is strapping and impressive. Dark, smoky aromas of fine oak, wood spice and burnt toast are paramount to the wine's secondary fruit scents. A full, wide palate with strong tannins is home to blackberry, cassis, fig, chocolate and toasty flavors. On the finish, barrel char and lemony notes allow this to go the distance. Best from 2022–2038. ",95
Emilio Moro 2011 Malleolus de Valderramiro  (Ribera del Duero),2011,Emilio Moro,Red wine,Tempranillo,Ribera del Duero,150.0,Malleolus de Valderramiro,No Aplica,Ribera del Duero,"Dark, toasty aromas suggest creosote and chimney smoke; throw in black olive, blackberry, dark plum and mocha scents and this is one hefty package. Fully tannic, with toasty chocolaty flavors of black fruits and oak-based spice, this finishes full and fierce, but not mean. Drink from 2019–2035. ",95
García Figuero 2012 Tinus  (Ribera del Duero),2012,García Figuero,Red wine,Tempranillo,Ribera del Duero,600.0,Tinus,No Aplica,Ribera del Duero,"Extremely ripe aromas of prune, blackberry, cassis and cinnamon announce a jammy loaded palate that weighs nothing short of a ton. The flavor profile is a black-fruit bonanza accented by graphite and blackened toast. Drink this monster wine from a dry, hot vintage from 2019–2034. ",95
CVNE 2010 Imperial Gran Reserva  (Rioja),2010,CVNE,Red wine,Tempranillo,Rioja,88.0,Imperial Gran Reserva,Gran Reserva,Rioja,"Certain wines exude a sense of elevated excellence. This one gets to that level via aromas of spice cake, baked plum and tobacco aromas. A stocky saturated palate is structured and built to age, while this tastes of cool blue fruits, herbs, coffee and chocolate. A smoothly textured finish deals cocoa and mocha notes. Drink through 2040. ",95
Finca Allende 2016 Gaminde Single Vineyard Estate Bottled  (Rioja),2016,Finca Allende,Red wine,Tempranillo,Rioja,95.0,Gaminde Single Vineyard Estate Bottled,No Aplica,Rioja,"Early reduction on the nose transitions to cool berry fruit and fine oak as this wine opens. The palate is fully built and saturated, with palpable tannins. Lightly toasted black-fruit flavors meld with mint, while ubiquitous oak cuddles a long, full finish. Hailing from an excellent year, this has a lot to offer; drink through 2030. ",95
Terroir Al Límit 2014 Les Manyes Garnacha (Priorat),2014,Terroir Al Límit,Red wine,Garnacha,Priorat,290.0,Les Manyes,No Aplica,Priorat,"Cinnamon and clove aromas stick out on a nose with light red-fruit scents. Power with restraint describes the palate on this varietal Garnacha from old vines. Dark, slightly baked flavors of brandied cherry and mulled berry fruits finish with a touch of oak and a recurrence of lightly baked fruit notes. Drink through 2026. ",95
Vega Sicilia 2005 Unico  (Ribera del Duero),2005,Vega Sicilia,Red wine,Tempranillo-Cabernet Sauvignon,Ribera del Duero,505.0,Unico,No Aplica,Ribera del Duero,"Earthy, spicy plum and berry aromas here suggest full ripeness. Tight, scratchy tannins lend the otherwise soft and ripe palate some grip. Lightly oaked flavors of tobacco, dried cherry and raspberry grow more chocolaty and raisiny on the finish. This is an Unico to drink over the next dozen years. ",95
Teso La Monja 2015 Alabaster  (Toro),2015,Teso La Monja,Red wine,Tinta de Toro,Toro,220.0,Alabaster,No Aplica,Toro,"Dark, concentrated aromas of blackberry, vanilla and leather saddle are rich and complex. As expected from Alabaster, the palate is saturated and dense, with rubbing tannins that need more time to soften. A bounty of toasty blackberry, peppercorn and chocolate flavors lead to a finish of toast and coffee. Drink from 2020–2030. ",95
Terroir Al Límit 2014 Dits Del Terra Carignan (Priorat),2014,Terroir Al Límit,Red wine,Carignan,Priorat,90.0,Dits Del Terra,No Aplica,Priorat,"This Carignan welcomes you with fresh berry aromas that are like jam, accented by spice notes. Secondary aromas of coffee and toast lead to a full, saturated palate with a vise grip. Deep, savory flavors of roasted plum are spicy on a complex finish that blends power and elegance to the end. Drink from 2018–2030. ",95
Torres 2013 Mas La Plana Cabernet Sauvignon (Penedès),2013,Torres,Red wine,Cabernet Sauvignon,Penedés,70.0,Mas La Plana,No Aplica,Penedès,"Fig, vanilla, cola and chocolate aromas are classy and ripe, while this cool-vintage Cabernet from a vaunted vineyard in the Penedès is powerful, with tannic bite and acidic scour that should settle in due time. Root beer, chocolate and baked berry flavors don't fall into jammy laziness, while this is intense on the finish. Everything adds up to a great wine that needs even more time; drink from 2021–2045. ",95
Dominio de Atauta 2014  Ribera del Duero,2014,Dominio de Atauta,White wine,Tinto Fino,Ribera del Duero,40.0,,No Aplica,Ribera del Duero,"A pretty nose shows violet notes alongside leather, blackberry and cassis aromas. The palate is full and edgy, with rubbery tannins that could use some years to resolve. A roasted, beefy flavor profile includes nuances of smoked meat that make this about more than just black fruit. Drink through 2028. ",94
Montecillo 2001 Gran Reserva Selección Especial  (Rioja),2001,Montecillo,Red wine,Tempranillo,Rioja,53.0,Gran Reserva Selección Especial,Gran Reserva,Rioja,"The rusty color, the subtle scents of root beer, smoked meat and leafy berry fruits, and a general air of complexity all help this fine Gran Reserva make its mark early on. A cushioned palate is both light yet deep. Ripe berry, mulled plum, fig and prune flavors finish with chocolaty notes of raspberry and plum. This is a classic Gran Reserva in peak form—the best Montecillo wine in decades. Drink through 2024. ",94
Matarromera 2011 Gran Reserva  (Ribera del Duero),2011,Matarromera,Red wine,Red Blends,Ribera del Duero,125.0,Gran Reserva,Gran Reserva,Ribera del Duero,"This is a deep, layered, tannic Tempranillo from an intense vintage. Its blackberry, black plum and cedar aromas are broad and lush. Chocolaty oak flavors enwrap its ripe blackberry fruit, remaining rich and long on the finish. Drink 2018–2026. ",94
Celler Pasanau 2012 Finca La Planeta Red (Priorat),2012,Celler Pasanau,Red wine,Red Blends,Priorat,43.0,Finca La Planeta,No Aplica,Priorat,"Crisp, focused aromas of ripe berry fruits, hot asphalt and spice are potent and excellent. From one of the Priorat's highest locales (2,400 feet), this blend of Cabernet Sauvignon and Garnacha tastes of spicy plum, crushed peppercorn and schist. Warm finishing notes of minerality combined with strong fruit flavors are thorough and complex; drink through 2028. ",94
Dominio de Atauta 2012 Llanos del Almendro  (Ribera del Duero),2012,Dominio de Atauta,White wine,Tinto Fino,Ribera del Duero,130.0,Llanos del Almendro,No Aplica,Ribera del Duero,"Massive blackberry, vanilla and marshmallow aromas are voluptuous. A just-right mix of lushness and tannins determines the palate, which hosts toasty flavors of chocolate and blackberry. A smooth finish with firm but manageable residual tannins is intense but not rough. Drink through 2028. ",94
Terroir Al Límit 2014 Arbossar Carignan (Priorat),2014,Terroir Al Límit,Red wine,Carignan,Priorat,90.0,Arbossar,No Aplica,Priorat,"A testament to the potential of Priorat varietal Carignan, Arbossar deals gamy, savory aromas of baking spices, earthy plum and mincemeat pie. The palate is dry on the edges and jammy in the middle. Raspberry and spiced cherry flavors are straight and intense on a saturated finish. For full-flavored, old-vines Carignan, look no further than this. Drink 2018–2028. ",94
Torres 2012 Mas la Plana Cabernet Sauvignon (Penedès),2012,Torres,Red wine,Cabernet Sauvignon,Penedés,70.0,Mas la Plana,No Aplica,Penedès,"This Cabernet Sauvignon from Penedès is on the money. A smooth, creamy nose of vanilla, oak and berry aromas leads to a ripe, saturated palate with a meaty texture. Flavors of black fruits, wild herbs, licorice and spice are long, savory and chocolaty on a finish that lasts three minutes. Drink from 2019–2030. ",94
Legón 2016 Premium  (Ribera del Duero),2016,Legón,Red wine,Tempranillo,Ribera del Duero,45.0,Premium,No Aplica,Ribera del Duero,"Ripe blackberry, cola and oaky vanilla aromas are lush and ooze quality. A ramped-up palate is intense but in fine shape, while black-plum, blackberry and black-cherry flavors sizzle with energy on bucking finish that portends many good years to come; drink through 2035. ",94
Muga 2010 Prado Enea Gran Reserva  (Rioja),2010,Muga,Red wine,Tempranillo Blend,Rioja,85.0,Prado Enea Gran Reserva,Gran Reserva,Rioja,"Ripe, chunky and slightly static is how to describe the nose on this prime gran reserva from a benchmark year. A flush lush palate shows no gaps and is full from side to side. Baked plum and berry flavors are ripe to the max without tasting sweet, while this darkens up and tastes more savory on the finish. Drink from 2020–2035. ",94
El Coto 2012 Coto de Imaz Gran Reserva  (Rioja),2012,El Coto,Red wine,Tempranillo,Rioja,35.0,Coto de Imaz Gran Reserva,Gran Reserva,Rioja,"Classic Rioja aromas of graphite, cherry, plum and oak are lightly toasted and spicy. On the palate, this offers chewy depth and impeccable balance. Ripe, heady plum, cassis and berry flavors are also nuanced and elegant, while this gran reserva from a ripe vintage tastes of vanilla and mild oak on the finish. For an affordable high-quality gem, look no further. Drink through 2028. ",94
García Figuero 2014 Milagros de Figuero  (Ribera del Duero),2014,García Figuero,Red wine,Tempranillo,Ribera del Duero,100.0,Milagros de Figuero,No Aplica,Ribera del Duero,"This broad, inviting Tempranillo offers ripe, robust blackberry, cassis and smoked meat aromas. Its blackberry and fig flavors blast at full volume, persisting into the thick finish with just the right amount of chocolaty oak. Drink through 2032. ",94
Contino 2015 Reserva  (Rioja),2015,Contino,Red wine,Tempranillo Blend,Rioja,85.0,Reserva,Reserva,Rioja,"Malty berry aromas are supported by cocoa, mocha and berry-fruit scents. This has a jammy plum and berry palate, with a ripe, slightly desiccated red-fruit-flavor profile. Depth and balance drive the finish, which is usually a good indication that aging will only help. Drink through 2040. ",94
Contino 2011 Gran Reserva  (Rioja),2011,Contino,Red wine,Tempranillo,Rioja,65.0,Gran Reserva,Gran Reserva,Rioja,"Ripe blackberry aromas are a touch malty and baked, with earthy depth and a topping of smoky oak. A sinewy palate is both creamy and braced by firm acidity. Well-oaked raspberry and plum flavors finish with notes of cocoa and vanilla. Drink this fine gran reserva from 2020 to 2035. ",94
Finca la Rinconada 2012 Barcolobo El Jaral Red (Vino de la Tierra de Castilla y León),2012,Finca la Rinconada,Red wine,Red Blends,Castilla,50.0,Barcolobo El Jaral,No Aplica,Vino de la Tierra de Castilla y León,"This massive blend of Cabernet Sauvignon, Syrah and Tempranillo has full yet stewy blackberry, cassis and olive aromas. Fiercely tannic, its deep plum and currant flavors are matched by toasty oak and coffee notes. Chocolate and mocha notes echo on the long finish. Near-term aging should help it along; drink through 2028. ",94
Resalte 2015 Expresión  (Ribera del Duero),2015,Resalte,Red wine,Tempranillo,Ribera del Duero,65.0,Expresión,No Aplica,Ribera del Duero,"Fully ripe black-fruit aromas come with hints of olive and damp earth. On the palate, this is full and kicking, with big tannins that don't tread lightly. Savory berry flavors are true to Ribera del Duero, while this is not overpowering on a long finish. Drink through 2029. ",94
12 Linajes 2012 Reserva  (Ribera del Duero),2012,12 Linajes,Red wine,Tempranillo,Ribera del Duero,65.0,Reserva,Reserva,Ribera del Duero,"Toasty blackberry and cassis aromas are classic for Ribera, while the firm, compact palate is structured but not fiercely tannic. Flavors of spiced blackberry, plum and fig finish with the right interplay between fruit and oak. Drink through 2028. ",94
Maetierra Dominum 2009 QP  (Rioja),2009,Maetierra Dominum,Red wine,Tempranillo Blend,Rioja,68.0,QP,No Aplica,Rioja,"Spicy yet sweet aromas of sarsaparilla root, saddle leather and earthy berry fruits precede a rich dense palate. This tastes of dark cherry and berry fruit, with an herbal shading adding complexity. Chocolaty oak takes hold on a solid long finish. Drink through 2024. ",94
Marqués de Vargas 2015 Hacienda Pradolagar  (Rioja),2015,Marqués de Vargas,Red wine,Tempranillo Blend,Rioja,125.0,Hacienda Pradolagar,No Aplica,Rioja,"Immediately appealing aromas of ripe black fruits, wood spice and vanilla are hefty but exotic, with a sense of class and good things to come. On the palate, this Tempranillo-led blend is stout and shows balance and grip. Woody plum and cassis flavors veer toward raisin and prune on a generous finish. Drink through 2027. ",94
Elias Mora 2014 Descarte  (Toro),2014,Elias Mora,Red wine,Tinta de Toro,Toro,65.0,Descarte,No Aplica,Toro,"Descarte is a new wine from one of Toro's top producers, offering precise aromas of blackberry and cassis. The tight palate is ripped with tannic power—something that's normal for the region—and offers chocolaty black-fruit flavors that are toasty and spicy, with a dry, peppery and tannic finish that lingers. Drink through 2026. ",94
Valserrano 2010 Nico  (Rioja),2010,Valserrano,Red wine,Tempranillo Blend,Rioja,58.0,Nico,No Aplica,Rioja,"Cedary, spicy berry aromas are pure Rioja, but this also tosses in campfire, graphite and toast scents. A massive palate is concentrated and needs time to unfold. Flavors of plum, spice cake and pepper finish with a powerful tailwind of chocolate, herbs, spice, berry fruit and acidity. Best from 2020 through 2030. ",94
Bodegas Vínícola Real 2001 200 Monges Gran Reserva  (Rioja),2001,Bodegas Vínícola Real,Red wine,Tempranillo Blend,Rioja,88.0,200 Monges Gran Reserva,Gran Reserva,Rioja,"Deep in color and floral aromas as well as still-ripe blackberry and plum scents, this Gran Reserva from one of the best vintages in modern Rioja history is chewy to its core, with a beam of bright acidity maintaining great shape. Bold berry and plum flavors are on display many years after harvest, while a ripe finish is spicy and confirms excellence; drink through 2028. ",94
Vega Sicilia 2011 Valbuena 5  (Ribera del Duero),2011,Vega Sicilia,Red wine,Tempranillo,Ribera del Duero,230.0,Valbuena 5,No Aplica,Ribera del Duero,"Super tight, toasty berry and spice aromas are classic RDD. This is tannic as nails right now, but the future, albeit one that's down the road, is positively bright. Flavors of mocha, blackberry, espresso and toast finish hard and tannic. If ever a wine was made for long-term cellaring, this is it. Drink from 2019 through 2040. ",94
Hidalgo 2010 Tradición H Gran Reserva  (Rioja),2010,Hidalgo,Red wine,Tempranillo,Rioja,45.0,Tradición H Gran Reserva,Gran Reserva,Rioja,"Ripe, smooth plum, prune and spice aromas include notes of tobacco and vanilla. While this gran reserva is a touch active and choppy, that's good in that it's not close to tiring. Spiced berry, mocha, and tobacco flavors are backed by a toasty finish that's still lively and cranking. Drink through 2026. ",94
Casa Primicia 2012 Viña Diezmo GR Gran Reserva  (Rioja),2012,Casa Primicia,Red wine,Tempranillo Blend,Rioja,44.0,Viña Diezmo GR Gran Reserva,Gran Reserva,Rioja,"Silky smooth, highly integrated aromas of baked black fruits and fine cocoa are just the beginning of the road on this superb gran reserva with a funky label. Concentrated and fully charged on the palate, this deals rowdy but delicious plum and berry flavors backed by wood spice and cinnamon. A stout finish keeps up with the fruit. Drink or hold for years to come (through 2035). ",94
Vall Llach 2012 Idus Red (Priorat),2012,Vall Llach,Red wine,Red Blends,Priorat,50.0,Idus,No Aplica,Priorat,"Ripe blackberry aromas are a touch malty and jammy, with a note of buttered pastry thrown in for good measure. This emphasizes the rich ripe extracted side of Priorat, but balance is not sacrificed. Lush dark toasty black-fruit flavors come with notes of oaky spice and bitter chocolate, while the finish is toasty blackened, deep and chunky. Drink through 2023. ",94
La Gitana 2015 Gold Label  (Rioja),2015,La Gitana,Red wine,Red Blends,Rioja,50.0,Gold Label,No Aplica,Rioja,"Smoky, toasty oak takes center stage on the nose of this fine Rioja. It's full and fruity on the palate yet has enough levity to allow the flavors to breathe. Strong barrel notes frame its salt, dried red fruit and cocoa flavors. Complex, ageworthy and high in quality, it will be best from 2020–2030. ",94
Remelluri 2011 Granja Gran Reserva  (Rioja),2011,Remelluri,Red wine,Red Blends,Rioja,95.0,Granja Gran Reserva,Gran Reserva,Rioja,"Alluring aromas of tree bark, licorice root, rose petal and ripe black fruit show elegance. This is a touch grippy and young in feel, but overall it's showing balance. Deep flavors of plum, cherry, wild berry and vanilla finish finessed by a balance of weight and acidity. Drink from 2019–2032. ",94
Finca Allende 2015 Gaminde Single Vineyard Estate Bottled  (Rioja),2015,Finca Allende,Red wine,Tempranillo,Rioja,75.0,Gaminde Single Vineyard Estate Bottled,No Aplica,Rioja,"This wine's blueberry and cassis aromas are accented by wet clay notes. Its saturated palate is so dense it requires a drill to get through in this youthful stage. Offering deep blackberry and dark chocolate flavors, it finishes with melting tannins and a lasting note of burnt wood. Drink through 2035. ",94
Emilio Moro 2011 Malleolus de Sanchomartin  (Ribera del Duero),2011,Emilio Moro,Red wine,Tempranillo,Ribera del Duero,179.0,Malleolus de Sanchomartin,No Aplica,Ribera del Duero,"Aromas of blackberry, dark spices and herbs are intriguing but oaky and closed right now. An intense, tannic, drawing palate is home to coffee and smoky dark-berry flavors. A massive, highly tannic finish tastes of espresso, bitter chocolate, savory berry and plum. Drink from 2020–2036. ",94
Vega Sicilia 2012 Valbuena 5  (Ribera del Duero),2012,Vega Sicilia,Red wine,Tempranillo,Ribera del Duero,195.0,Valbuena 5,No Aplica,Ribera del Duero,"Lightly charred, toasty berry aromas come with a full covering of clove and baking spice scents in this plush wine. The palate is edged with drying tannins, bolstering exotic berry, spice and herbal flavors. Its long, balanced finish features chocolate and unabsorbed oak. Drink through 2022. ",94
Cartago 2014 Paraje del Pozo  (Toro),2014,Cartago,Red wine,Tinta de Toro,Toro,170.0,Paraje del Pozo,No Aplica,Toro,"Initially, this big-time Tempranillo from Bodegas San Román smells lactic and chocolaty, with a hint of marshmallow to go with black cherry and blackberry fruit. On the palate, this is rugged and tough, something you can embrace but can't avoid. Black cherry, cassis and dark plum flavors finish with cocoa notes, and the more air this sees the better it will perform. Drink through 2030. ",94
Emina 2014 Atio  (Ribera del Duero),2014,Emina,Red wine,Tempranillo,Ribera del Duero,75.0,Atio,No Aplica,Ribera del Duero,"Bold black fruit aromas combined with scents of leather, herbs, oregano and wild desert brush make for a complex and intriguing nose. A bold, punchy palate is deep and intense, with flavors of blackberry, cassis, dark chocolate and coffee. A high-energy finish with rock-solid tannins ensures that this will last a long time; drink from 2020–2035. ",94
TR3 2015 Tr3smano  (Ribera del Duero),2015,TR3,Red wine,Tempranillo,Ribera del Duero,75.0,Tr3smano,No Aplica,Ribera del Duero,"A ripe, heady nose of blackberry, toast, lemony oak and molasses amounts to something big but also pure. This is saturated on the palate in flavors of mocha, blackened toast and ripe berry, finishing on a well-mannered toasty note. Drink this outstanding Tempranillo from 2020–2040. ",94
Sierra Cantabria 2013 Amancio  (Rioja),2013,Sierra Cantabria,Red wine,Tempranillo,Rioja,155.0,Amancio,No Aplica,Rioja,"A blend of smoky oak, earth, blackberry and raisin aromas rule the nose on this full-force Rioja that's showing full ripeness despite coming from a cool vintage. Amancio is typically bruising on the palate, with wall-to-wall power and tannins. Dark, hefty berry and plum flavors finish firm and dry, but with plenty of vanilla and oak flavor. Drink from 2020–2034. ",94
Pago de Carraovejas 2014 Reserva  (Ribera del Duero),2014,Pago de Carraovejas,Red wine,Red Blends,Ribera del Duero,85.0,Reserva,Reserva,Ribera del Duero,"With 15% Cabernet Sauvignon and 7% Merlot blended with Tinto Fino, this is not your usual Ribera del Duero monster. Aromas of breakfast sausage, fennel and bacon fat meld into lightly herbal berry scents. A fresh, forward palate is softened by creamy oak, while this tastes slightly lactic, with wood spice, hickory, bacon and blackberry flavors. On the finish, this mellows out and isn't too fierce. Drink through 2028. ",94
Ferrer Bobet 2011 Selecció Especial Vinyes Velles Carignan (Priorat),2011,Ferrer Bobet,Red wine,Carignan,Priorat,105.0,Selecció Especial Vinyes Velles,No Aplica,Priorat,"An opaque color is a fair warning of what's to come: namely rubbery minerally black-fruit aromas that scream old vines. In the mouth, this blocky Carignan is flush and shows wall-to-wall saturation. Wild aromas of mountain herbs, blueberry and boysenberry finish sinewy and with spicy minerally black-fruit leftovers. Drink through 2023. ",94
Marqués de Vargas 2012 Gran Reserva Hacienda Pradolagar  (Rioja),2012,Marqués de Vargas,Red wine,Tempranillo Blend,Rioja,50.0,Gran Reserva Hacienda Pradolagar,Gran Reserva,Rioja,"Spicy berry and creamy oak aromas are thorough and pleasing from the start. On the palate, this is lively, full and fresh, with a hint of choppiness. Berry, plum and lavender flavors finish with good density, balance and residual flavors of raisin and plum. For Marqués de Vargas, this is a new peak. Drink through 2026. ",94
Teso La Monja 2015 Victorino  (Toro),2015,Teso La Monja,Red wine,Tinta de Toro,Toro,60.0,Victorino,No Aplica,Toro,"This is textbook Teso la Monja, with a deep, lusty nose that is packed with a ripe but balanced black-fruit flavor and copious new oak. Hard, pounding tannins are edgy but not jagged, while this tastes of toasty blackberry, cassis and blueberry pie. A warm finish suggests molten chocolate cake. Best from 2020–2026. ",94
Valserrano 2014 Finca Monteviejo  (Rioja),2014,Valserrano,Red wine,Tempranillo Blend,Rioja,58.0,Finca Monteviejo,No Aplica,Rioja,"Intense aromas of graphite, vanilla and creamy berry fruits are a fine opening to this off-vintage winner, proof that great wines can come from weak vintages. The deep palate is blazing with integrated acidity. Campfire smoke is infused into blackberry and cassis flavors, while this is long, elegant and echoes ripe berry and chocolaty oak on the finish. Drink through 2040. ",94
